States/UTs,2008,2009,2010,2011,2012
Andhra Pradesh,23445,18811,14701,13395,17858
Arunachal Pradesh,49,66,71,89,38
Assam,2849,3175,3941,3881,4433
Bihar,2380,3288,2936,3283,2480
Chhattisgarh,6149,6839,6662,7539,6035
Goa,2977,2322,2821,2677,2516
Gujarat,19922,18985,18960,19790,15977
Haryana,6541,5451,5281,5281,5229
Himachal Pradesh,1373,2027,2124,2158,2184
Jammu & Kashmir,3228,3897,3083,3655,3527
Jharkhand,1348,2241,2341,1799,2061
Karnataka,28646,23177,31121,23826,20967
Kerala,20663,19621,19861,20030,20404
Madhya Pradesh,24049,25506,26887,25398,21755
Maharashtra,46821,31534,33856,41518,39938
Manipur,108,225,144,127,0
Meghalaya,144,45,137,121,47
Mizoram,56,17,39,15,55
Nagaland,27,0,3,0,NA
Odisha,3225,1156,3711,3235,3466
Punjab,2242,1871,2008,2183,2408
Rajasthan,12350,12118,10892,11404,10361
Sikkim,90,100,25,59,7
Tamil Nadu,25909,23236,28922,27317,28265
Tripura,570,798,649,551,483
Uttarakhand,883,785,767,746,540
Uttar Pradesh,5363,5578,2810,5715,5704
West Bengal,3803,3687,274,0,5572
Andaman & Nicobar Islands,97,123,183,211,218
Chandigarh,65,225,41,NA,97
Dadra & Nagar Haveli,116,79,23,103,27
Daman & Diu,6,28,13,16,10
Delhi,0,616,507,NA,316
Lakshadweep,8,3,4,0,NA
Puducherry,1687,1675,1509,1414,924
All India,247189,219305,227307,227536,223902
