States/UTs,2006,2007,2008,2009,2010,2011,2012
Andhra Pradesh,4660,2817,2283,4538,4207,759,2134
Arunachal Pradesh,25,12,30,31,11,13,27
Assam,650,413,438,259,535,593,268
Bihar,1123,1527,1400,695,697,1059,1190
Chhattisgarh,335,434,910,326,1312,309,233
Goa,48,0,28,9,19,20,14
Gujarat,1883,268,468,1251,225,158,246
Haryana,267,357,399,299,232,281,268
Himachal Pradesh,376,328,81,90,181,69,108
Jammu & Kashmir,197,24,492,62,145,91,39
Jharkhand,290,887,683,637,623,974,684
Karnataka,4213,356,648,1457,359,728,798
Kerala,807,71,68,68,68,71,74
Madhya Pradesh,4298,8645,2025,5594,5698,4843,6156
Maharashtra,3051,3744,3172,4472,2259,1725,1638
Manipur,0,82,199,215,67,186,0
Meghalaya,34,13,13,37,62,134,30
Mizoram,15,50,43,50,53,14,70
Nagaland,46,0,5,0,13,13,11
Odisha,925,789,814,615,803,1441,1114
Punjab,199,453,98,433,436,180,75
Rajasthan,3307,2909,1325,1284,2395,1407,1067
Sikkim,117,84,78,0,75,7,7
Tamil Nadu,474,310,308,2661,2541,3475,3565
Tripura,0,0,69,0,0,19,7
Uttarakhand,67,31,25,1,0,1,174
Uttar Pradesh,2118,1846,2753,2989,1554,2463,3243
West Bengal,314,839,2223,2148,8868,0,NA
Andaman & Nicobar Islands,60,89,31,33,42,22,10
Chandigarh,0,0,0,0,0,NA,22
Dadra & Nagar Haveli,0,0,0,0,69,0,43
Daman & Diu,4,0,0,0,6,1,6
Delhi,0,0,0,0,0,69,67
Lakshadweep,0,0,0,0,0,0,2
Puducherry,1,1,1,10,12,23,13
All India,29904,27379,21110,30264,33567,21148,23403
